variant_type,variant_size,window_radius,recall,precision,f1_score,tp,fp,fn,protein_affected_genes_count,protein_affected_driver_genes_count,protein_affected_genes,protein_affected_driver_genes
SNV,1,0,1.0,1.0,1.0,3,0,0,2,1,PRDM16;ZSWIM7,PRDM16
INDEL,1 - 100,0,0.5,0.75,0.6,3,1,3,0,0,,
INS/DUP,1 - 100,0,0.3333333333333333,1.0,0.5,1,0,2,0,0,,
DEL,1 - 100,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0,0,,
SV,ALL,100,0.0,0.0,0.0,0,0,13,0,0,,
TRA,TRA,100,0.0,0.0,0.0,0,0,3,0,0,,
INV,> 0,100,0.0,0.0,0.0,0,0,3,0,0,,
INV,1 - 100,100,0.0,0.0,0.0,0,0,0,0,0,,
INV,101 - 500,100,0.0,0.0,0.0,0,0,0,0,0,,
INV,> 500,100,0.0,0.0,0.0,0,0,3,0,0,,
DEL,> 100,100,0.0,0.0,0.0,0,0,4,0,0,,
DEL,101 - 500,100,0.0,0.0,0.0,0,0,0,0,0,,
DEL,> 500,100,0.0,0.0,0.0,0,0,4,0,0,,
DUP,> 100,100,0.0,0.0,0.0,0,0,3,0,0,,
DUP,101 - 500,100,0.0,0.0,0.0,0,0,0,0,0,,
DUP,> 500,100,0.0,0.0,0.0,0,0,3,0,0,,
