variant_type,variant_size,window_radius,recall,precision,f1_score,tp,fp,fn,protein_affected_genes_count,protein_affected_driver_genes_count,protein_affected_actionable_genes_count,protein_affected_genes,protein_affected_driver_genes,protein_affected_actionable_genes
SNV,1,0,0.0,0.0,0.0,0,0,3,0,0,0,,,
INDEL,1 - 100,0,0.0,0.0,0.0,0,0,6,0,0,0,,,
INS/DUP,1 - 100,0,0.0,0.0,0.0,0,0,3,0,0,0,,,
DEL,1 - 100,0,0.0,0.0,0.0,0,0,3,0,0,0,,,
SV,ALL,100,0.7692307692307693,0.8333333333333334,0.8,10,2,3,0,0,0,,,
TRA,TRA,100,1.0,1.0,1.0,3,0,0,0,0,0,,,
INV,> 0,100,1.0,0.75,0.8571428571428571,3,1,0,0,0,0,,,
INV,1 - 100,100,0.0,0.0,0.0,0,0,0,0,0,0,,,
INV,101 - 500,100,0.0,0.0,0.0,0,0,0,0,0,0,,,
INV,> 500,100,1.0,0.75,0.8571428571428571,3,1,0,0,0,0,,,
DEL,> 100,100,0.75,0.75,0.75,3,1,1,0,0,0,,,
DEL,101 - 500,100,0.0,0.0,0.0,0,0,0,0,0,0,,,
DEL,> 500,100,0.75,0.75,0.75,3,1,1,0,0,0,,,
DUP,> 100,100,0.3333333333333333,1.0,0.5,1,0,2,0,0,0,,,
DUP,101 - 500,100,0.0,0.0,0.0,0,0,0,0,0,0,,,
DUP,> 500,100,0.3333333333333333,1.0,0.5,1,0,2,0,0,0,,,
